address,x,y,z
0,959.61536,338.7779,0.0
120,555.1802,177.3179,0.0
121,502.92432,179.0477,0.0
122,455.84558,172.57016,0.0
123,416.54483,175.15878,0.0
124,416.54483,175.15878,0.0
125,416.54483,175.15878,0.0
126,344.93008,221.27438,0.0
127,339.65472,267.27966,0.0
128,315.89764,301.21307,0.0
129,304.96686,356.26608,0.0
130,282.71872,407.5466,0.0
131,274.0452,470.89273,0.0
132,274.41934,470.89273,0.0
133,274.41934,470.89273,0.0
134,161.69424,512.6593,0.0
135,130.46584,469.75793,0.0
136,112.075966,462.75287,0.0
137,88.14107,424.22498,0.0
138,118.203964,464.7955,0.0
139,120.540985,475.00867,0.0
140,123.749115,477.3457,0.0
141,61.292427,458.66144,0.0
142,95.440636,466.83807,0.0
143,63.040665,450.78534,0.0
144,85.81017,479.97113,0.0
145,83.17858,481.43097,0.0
146,58.37269,486.39343,0.0
147,46.110634,479.0939,0.0
148,24.512753,492.52127,0.0
149,72.08828,503.02887,0.0
150,119.95826,481.43097,0.0
151,122.87812,482.0137,0.0
152,159.94608,557.3212,0.0
153,136.30556,503.90604,0.0
154,147.39586,504.4888,0.0
155,129.006,477.9284,0.0
156,106.82539,442.60867,0.0
157,126.38071,475.3031,0.0
158,104.1938,520.836,0.0
159,131.92574,545.64197,0.0
160,131.92574,545.64197,0.0
161,82.30759,565.78613,0.0
162,75.00802,550.60443,0.0
163,100.40306,532.8035,0.0
164,82.30759,542.43396,0.0
165,89.600914,528.7121,0.0
166,89.89536,528.7121,0.0
167,134.2567,546.8136,0.0
168,128.71155,532.8035,0.0
169,128.71155,532.8035,0.0
170,128.71155,532.8035,0.0
171,101.56851,566.95166,0.0
172,75.590866,545.35364,0.0
173,58.955288,546.51917,0.0
174,70.92283,568.1171,0.0
175,26.267166,580.9618,0.0
176,75.885315,570.1598,0.0
177,92.22632,529.0065,0.0
178,61.292427,474.13147,0.0
179,7.0,488.436,0.0
180,558.6336,172.57016,0.0
181,505.51288,185.09581,0.0
182,456.71057,178.61218,0.0
183,410.93234,174.72934,0.0
184,410.50284,174.72934,0.0
185,410.50284,174.72934,0.0
186,359.25922,209.20872,0.0
187,355.1126,272.18073,0.0
188,352.84906,224.29239,0.0
189,396.5909,244.65732,0.0
190,359.6394,274.44415,0.0
191,339.2745,320.82358,0.0
192,320.79877,370.21484,0.0
193,321.55325,370.9693,0.0
194,347.19357,370.9693,0.0
195,331.35553,401.891,0.0
196,331.35553,401.891,0.0
197,331.35553,401.891,0.0
198,353.6036,358.5295,0.0
199,338.52005,367.95142,0.0
200,353.2294,358.14917,0.0
201,380.3786,360.7868,0.0
202,394.70157,408.6752,0.0
203,419.59344,425.2678,0.0
204,396.96506,415.08527,0.0
205,380.3786,380.01703,0.0
206,350.966,418.8577,0.0
207,316.27808,406.79205,0.0
208,282.71872,406.79205,0.0
209,307.2242,427.15094,0.0
210,334.75375,430.92334,0.0
211,331.73572,408.6752,0.0
212,325.69986,445.62665,0.0
213,302.3231,420.74088,0.0
214,292.521,370.9693,0.0
215,323.44247,373.2328,0.0
216,299.6854,421.49533,0.0
217,294.40402,428.2857,0.0
218,332.49033,433.561,0.0
219,329.09814,407.92075,0.0
220,306.09555,428.2857,0.0
221,300.43997,471.26685,0.0
222,353.6036,462.21915,0.0
223,389.80054,410.56448,0.0
224,396.96506,416.97455,0.0
225,403.3752,412.8218,0.0
226,392.81845,409.05554,0.0
227,395.83636,401.51068,0.0
228,404.8841,412.06726,0.0
229,420.7222,429.04022,0.0
230,396.5909,416.97455,0.0
231,415.44086,427.53125,0.0
232,398.8544,438.46207,0.0
233,405.63858,437.33344,0.0
234,400.3633,453.92596,0.0
235,402.2464,459.5815,0.0
236,400.73752,446.38113,0.0
237,402.2464,468.62924,0.0
238,404.5099,472.40167,0.0
239,377.3607,499.92508,0.0
240,562.52264,178.61218,0.0
241,512.42596,181.63625,0.0
242,463.62357,171.70522,0.0
243,423.02246,177.3179,0.0
244,404.4547,192.86763,0.0
245,404.8841,192.86763,0.0
246,404.02527,203.23416,0.0
247,377.7349,237.4927,0.0
248,367.55847,181.68533,0.0
249,395.83636,170.74832,0.0
250,393.95316,171.88318,0.0
251,378.1151,205.44244,0.0
252,370.19604,233.34612,0.0
253,346.4391,279.3453,0.0
254,336.2628,252.57635,0.0
255,360.01364,236.358,0.0
256,345.3104,280.09976,0.0
257,345.3104,280.09976,0.0
258,353.6036,250.31287,0.0
259,375.09732,202.79866,0.0
260,384.14493,235.60349,0.0
261,367.55847,233.72029,0.0
262,347.94797,265.39648,0.0
263,392.0639,264.2617,0.0
264,391.68976,263.13303,0.0
265,411.67447,279.71948,0.0
266,363.03168,303.10242,0.0
267,352.84906,258.23193,0.0
268,350.966,301.59338,0.0
269,381.50735,280.09976,0.0
270,392.0639,276.70764,0.0
271,373.5883,308.75793,0.0
272,354.35812,274.06384,0.0
273,326.83472,270.29758,0.0
274,308.73325,324.21573,0.0
275,326.83472,319.31464,0.0
276,356.62152,326.8534,0.0
277,373.21408,279.3453,0.0
278,390.5549,278.96497,0.0
279,419.96768,329.87128,0.0
280,387.16296,347.59253,0.0
281,369.4417,305.35968,0.0
282,322.6881,330.99997,0.0
283,324.95148,337.79034,0.0
284,355.49283,306.4945,0.0
285,378.48926,335.1527,0.0
286,404.5099,339.2993,0.0
287,395.83636,383.03497,0.0
288,351.34015,350.61047,0.0
289,336.6368,320.4433,0.0
290,334.37344,370.59515,0.0
291,355.86703,377.0052,0.0
292,327.58908,343.4459,0.0
293,330.98132,316.2967,0.0
294,327.9633,372.10406,0.0
295,352.4749,387.93607,0.0
296,382.2617,364.1851,0.0
297,386.4083,337.03583,0.0
298,380.3786,323.8354,0.0
299,396.21057,385.6787,0.0
300,600.95844,167.38696,0.0
301,624.28,210.14114,0.0
302,675.67096,219.21332,0.0
303,719.29,240.80515,0.0
304,711.9477,295.6556,0.0
305,725.76764,330.2025,0.0
306,754.70184,349.2058,0.0
307,746.5007,413.12238,0.0
308,711.5182,436.87335,0.0
309,705.0408,379.8698,0.0
310,704.6052,455.01172,0.0
311,746.5007,459.33002,0.0
312,784.501,438.60318,0.0
313,738.2934,456.7415,0.0
314,694.67413,441.62726,0.0
315,648.896,470.99084,0.0
316,650.6257,504.24957,0.0
317,660.5567,432.555,0.0
318,649.3254,371.66245,0.0
319,681.2836,406.2155,0.0
320,711.9477,433.41995,0.0
321,708.06476,463.21902,0.0
322,675.67096,455.87656,0.0
323,704.6052,513.3157,0.0
324,761.1793,511.15646,0.0
325,786.66016,486.11127,0.0
326,735.70465,460.19495,0.0
327,674.8061,458.90067,0.0
328,616.9377,468.83167,0.0
329,619.52606,492.15323,0.0
330,618.6612,489.5647,0.0
331,673.94116,525.84143,0.0
332,708.06476,469.26715,0.0
333,749.9541,483.51657,0.0
334,694.67413,493.0182,0.0
335,645.8719,481.79288,0.0
336,695.1035,505.11447,0.0
337,697.6983,500.36057,0.0
338,683.0133,426.07748,0.0
339,746.5007,416.14645,0.0
340,746.5007,415.71094,0.0
341,748.6599,433.85544,0.0
360,613.91345,177.75342,0.0
361,651.92,208.84683,0.0
362,676.5359,203.23416,0.0
363,648.4603,226.55579,0.0
364,650.1902,226.98514,0.0
365,682.1485,248.14755,0.0
366,700.2868,246.85332,0.0
367,685.17267,221.37253,0.0
368,686.9024,220.93701,0.0
369,683.0133,226.55579,0.0
370,683.4428,188.11378,0.0
371,704.17584,235.62187,0.0
